,일자,CD_91일,콜_금리,국고채_3년,회사채_3년
0,2001.03.13,5.68,,6.09,7.23
1,2001.03.14,5.68,5.00,5.74,7.02
2,2001.03.15,5.67,5.00,5.57,6.96
3,2001.03.16,5.67,5.07,5.61,7.02
4,2001.03.19,5.67,5.00,5.64,7.06
5,2001.03.20,5.67,5.01,5.63,7.07
6,2001.03.21,5.68,5.03,5.71,7.17
7,2001.03.22,5.69,4.99,5.85,7.29
8,2001.03.23,5.69,5.01,5.76,7.21
9,2001.03.26,5.69,5.02,5.68,7.14
10,2001.03.27,5.69,5.00,5.72,7.17
11,2001.03.28,5.70,4.98,5.88,7.31
12,2001.03.29,5.70,4.98,6.12,7.51
13,2001.03.30,5.70,4.96,6.31,7.69
14,2001.04.02,5.74,4.99,6.66,7.95
15,2001.04.03,5.81,5.01,6.46,7.81
16,2001.04.04,5.87,5.01,6.70,8.03
17,2001.04.06,5.87,5.04,6.58,7.95
18,2001.04.09,5.87,5.01,6.50,7.89
19,2001.04.10,5.84,5.02,6.44,7.80
20,2001.04.11,5.84,5.02,6.40,7.75
21,2001.04.12,5.83,5.01,6.38,7.74
22,2001.04.13,5.83,5.03,6.40,7.74
23,2001.04.16,5.83,5.01,6.42,7.76
24,2001.04.17,5.83,5.01,6.40,7.74
25,2001.04.18,5.83,5.00,6.47,7.80
26,2001.04.19,5.83,5.00,6.48,7.81
27,2001.04.20,5.83,5.05,6.60,7.91
28,2001.04.23,5.83,5.02,6.72,8.00
29,2001.04.24,5.83,5.01,6.72,8.00
30,2001.04.25,5.84,5.01,6.75,8.04
31,2001.04.26,5.86,5.03,6.93,8.17
32,2001.04.27,5.89,4.98,6.85,8.11
33,2001.04.30,5.92,5.01,6.80,8.05
34,2001.05.02,5.90,5.02,6.57,7.87
35,2001.05.03,5.90,5.00,6.50,7.81
36,2001.05.04,5.89,4.99,6.45,7.79
37,2001.05.07,5.89,4.92,6.50,7.81
38,2001.05.08,5.89,5.00,6.47,7.78
39,2001.05.09,5.89,5.01,6.42,7.73
40,2001.05.10,5.89,5.02,6.43,7.74
41,2001.05.11,5.89,5.05,6.44,7.76
42,2001.05.14,5.89,5.01,6.54,7.79
43,2001.05.15,5.89,5.01,6.65,7.84
